id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
1016,,,10–50 μg/mL,Iron Oxide,polylactide,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,polylactide,,,,10–50 μg/mL,,No detectable toxicity,,,,,,,,72 h,Muscles A10 (rat),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,,up to 80 μg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,up to 80 μg/mL,,No or low toxicity,,,,ROS measured,,,,18 h,Lung A549 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,,,40 μg/mL and 80 μg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,40 μg/mL and 80 μg/mL,,Oxidative DNA lesions observed,,,,,,,,4 h,A549 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,1–100 μg/105 cells,Iron Oxide,poly(TMSMA-r-PEGMA),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,poly(TMSMA-r-PEGMA),,,,1–100 μg/105 cells,,No indication of toxicity,,,,,,,,12 h,LLC (mouse),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,90 μg/mL,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,90 μg/mL,,Cell viability was not adversely affected,,,,,,,,24 h,Heart BAECs,10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,,,100 μg/mL,Iron Oxide,dextrane and phosphatidyl choline/cholesterol,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,dextrane and phosphatidyl choline/cholesterol,,,,100 μg/mL,,Alterations in mitochondria ultrastructural organization and decrease of oxygen uptake,,,,,,,,1–3 days,MCF-7 (human breast),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,"0.1, 1, 10, and 100 μM",Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,"0.1, 1, 10, and 100 μM",,No observable change in cell viability,,,,,,,,72 h,"Normal and Cancer Breast cells (H184B5F5/M10, SKBR3, MB157, T47D)",10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,0–30 ppm,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,0–30 ppm,,Concentration depended toxicity,,,,,,,,72 h,Cancer MSTO-211H (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,,,0–10 mg/mL,Iron Oxide,dextran,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,dextran,,,,0–10 mg/mL,,Not toxic at 1 mg/mL and mildly toxic at 10 mg/mL after 72 h,,,,,,,,"24, 48, 72 h",HMMs (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,[Fe] ≈ 2.5 mM (Maximum tested concentration),Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,[Fe] ≈ 2.5 mM (Maximum tested concentration),,Statistically significant change in mitochondrial function,,,,,,,,,Mammalian cells (BRL 3A rat liver cells in cited work),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,,,12 mg Fe/kg,Iron Oxide,NA (Bare/Unknown),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs ,inorganic,,,,,,,NA (Bare/Unknown),,,,,12 mg Fe/kg,No observable toxicity,,,,,,,,,Animals (for brain tumors),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,,0.03 μg/mL to 3 mg/mL,Iron Oxide,amino-surface,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs (: Gal-ASPIO-278),inorganic,,,,,,,amino-surface,,,,0.03 μg/mL to 3 mg/mL,,,,,,,,,1500 μg/mL,5 days,Hep G2 (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,20 μg/mL to 5 mg/mL,Iron Oxide,ADM conjugated (Adriamycin loaded),Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs (ADM conjugated),inorganic,,,,,,,ADM conjugated (Adriamycin loaded),,,,20 μg/mL to 5 mg/mL,,Cell proliferation significantly increased (P < 0.001),,,,,,,,48 h,K562 and K562/A02 (human leukemia),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,,250 μg/mL,Iron Oxide,"NA (Bare, )",Toxic,,,Classified Data,Iron Oxide,Toxic,"SPIONs (Bare) [Ref 36, hTERT-BJ1]",inorganic,,50,,,,,"NA (Bare, )",,,,250 μg/mL,,25–50% viable,,,,,,,,24 h,hTERT-BJ1,10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,,2–32 mM,Iron Oxide,CES-grafted (Carboxyethylsilanetriol),Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs (CES-grafted),inorganic,,13.8±2.1,,,,,CES-grafted (Carboxyethylsilanetriol),,,,2–32 mM,,Reduced cell viability of glial cells by <80% at 4 mM,,,,,,,,24 h,"BE-2-C, A172, L929, Hep G2, A549, HCM",10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,5–20 (Core: Fe3​O4​ or γ-Fe2​O3​),,,Iron Oxide,,Toxic,5.0,,Classified Data,Iron Oxide,Toxic,SPIONs (General Core),inorganic,5–20 (Core: Fe3​O4​ or γ-Fe2​O3​),,,,,Larger surface area (non-quantitative),,,,,,,,,,Mentioned as potential injury mechanism,Extreme production of ROS is cause of toxicity,,,,,,10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,,1 mg/mL,Iron Oxide,MA-PEG,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs (MA-PEG),inorganic,,50,,,,,MA-PEG,,,,1 mg/mL,,99% viable,,,,,,,,24 h,hTERT-BJ1,10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,,,0–250 mg mL−1,Iron Oxide,,Toxic,,,Classified Data,Iron Oxide,Toxic,SPIONs (None coated) [BRL 3A],inorganic,,"30, 47",,,,,,,,,0–250 mg mL−1,,,,,,,,EC50​>250mg/mL,,24 h,BRL 3A,10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,4–8 (core),,1 to 100 mg iron per well,Iron Oxide,Poly(TMSMA-r-PEGMA),Non-toxic,4.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs (Poly(TMSMA-r-PEGMA)),inorganic,4–8 (core),16,,,,,Poly(TMSMA-r-PEGMA),,,,1 to 100 mg iron per well,,No toxicity,,,,,,,,12 h,LLC,10.1080/21691401.2019.1709855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,20 nm,,0–26 μg/cm2,Iron Oxide,Dextran,Non-toxic,20.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs (Size variant A),inorganic,20 nm,,,,,,Dextran,,,,0–26 μg/cm2,,Decrease in cell viability,,,,,,,,24 h,HEK (normal human epidermal keratinocytes),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,15 nm,,0–26 μg/cm2,Iron Oxide,Dextran,Non-toxic,15.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs (Size variant B),inorganic,15 nm,,,,,,Dextran,,,,0–26 μg/cm2,,Not cytotoxic,,,,,,,,24 h,HEK (normal human epidermal keratinocytes),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,50 nm,,0–26 μg/cm2,Iron Oxide,Dextran,Non-toxic,50.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs (Size variant C),inorganic,50 nm,,,,,,Dextran,,,,0–26 μg/cm2,,Not cytotoxic,,,,,,,,24 h,HEK (normal human epidermal keratinocytes),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,84 (Core: 1.4),,100 mg/mL,Iron Oxide,WSC (Water-soluble chitosan) and LA (Linoleic acid),Non-toxic,84.0,,Classified Data,Iron Oxide,Non-toxic,SPIONs (WSC and LA coated),inorganic,84 (Core: 1.4),,,,,,WSC (Water-soluble chitosan) and LA (Linoleic acid),,,,100 mg/mL,,73% viable,,,,,,,,24 and 48 h,primary hepatocytes (mice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,,,"12, 61, and 123 μg/mL",Iron Oxide,PVA and vinyl alcohol/vinyl amine copolymer,Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,SPIONs coated with polymer,inorganic,,,,,,,PVA and vinyl alcohol/vinyl amine copolymer,,,,"12, 61, and 123 μg/mL",,Less toxic than polymer alone,,,,,,,,2 and 24 h,Melanoma (human),10.1016/j.bbrep.2017.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,Iron Oxide,Iron,Toxic,,,Classified Data,Iron Oxide,Toxic,Short iron nanowires,inorganic,,,Nanowires,,,,Iron,,,,,,NA (Studied uptake mechanism),,,,,,,,,HeLa cells,10.3402/nano.v1i0.5358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,"In water: −33±5 mV, Negative surface charge. In DMEM: about −35 mV","Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 2.5 nM.",Iron Oxide,"Fe3​O4​ core, SiO2​ shell, exposing OH groups",Toxic,3.0,33.0,Classified Data,Iron Oxide,Toxic,Silica Coated Iron Oxide Nanoparticles (Fe3​O4​/SiO2​ NPs),inorganic,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,In water: 32±5 nm. In DMEM: <100 nm,"Core/shell structure, Spherical",,"In water: −33±5 mV, Negative surface charge. In DMEM: about −35 mV",,"Fe3​O4​ core, SiO2​ shell, exposing OH groups",,pH 7.4 (DMEM). Dissolution studies also conducted at pH 4.5,37∘C,"Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 2.5 nM.",NA (Study focuses on in vitro toxicity),"A549 (5 nM, 96 h): ∼35−40% viability; HeLa (5 nM, 96 h): ∼10−15% viability.",Most prone to degradation. Released ∼110 μM Fe at pH 4.5 (96 h). No detectable ion release at pH 7.,NA (Evaluated by LDH leakage),"High levels of damage. A549 (5 nM, 96 h): ∼450% LDH leakage; HeLa (5 nM, 96 h): ∼550% LDH leakage.","Significant generation of ROS. A549 (2.5 nM, 96 h): ∼190% generation; HeLa (2.5 nM, 96 h): ∼240% generation.",,,,48 h and 96 h,A549 (human lung carcinoma) and HeLa (human cervix carcinoma) cells,10.1371/journal.pone.0085835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,In water: Positive surface charge. In DMEM: about −35 mV,"Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 5 nM.",Iron Oxide,"Fe3​O4​ core, SiO2​ shell, functionalized with Aminopropyltriethoxysilane (APTES)",Toxic,3.0,35.0,Classified Data,Iron Oxide,Toxic,"Silica Coated Iron Oxide Nanoparticles (Fe3​O4​/SiO2​ NPs), Amine-silane surface modified",inorganic,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,In DMEM: <100 nm,Core/shell structure,,In water: Positive surface charge. In DMEM: about −35 mV,,"Fe3​O4​ core, SiO2​ shell, functionalized with Aminopropyltriethoxysilane (APTES)",,pH 7.4 (DMEM). Dissolution studies also conducted at pH 4.5,37∘C,"Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 5 nM.",,"A549 (5 nM, 96 h): ∼95−100% viability; HeLa (5 nM, 96 h): ∼80−90% viability.",Less prone than bare NPs. Released ∼55 μM Fe at pH 4.5 (96 h). No detectable ion release at pH 7.,,"Slight increase. A549 (5 nM, 96 h): ∼120−130% LDH leakage; HeLa (5 nM, 96 h): ∼150−160% LDH leakage.","Low levels of ROS. A549 (2.5 nM, 96 h): ∼120−130% generation; HeLa (2.5 nM, 96 h): ∼120−140% generation.",,,,48 h and 96 h,A549 (human lung carcinoma) and HeLa (human cervix carcinoma) cells,10.1371/journal.pone.0085835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,"In water: Negative surface charge. In DMEM: −24±4 mV, or generally about −35 mV","Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 5 nM.",Iron Oxide,"Fe3​O4​ core, SiO2​ shell, functionalized with (trihydroxysilyl)-1-propanesulfonic acid (SIT)",Toxic,3.0,24.0,Classified Data,Iron Oxide,Toxic,"Silica Coated Iron Oxide Nanoparticles (Fe3​O4​/SiO2​ NPs), Sulfonate-silane surface modified",inorganic,Fe3​O4​ core: 12.0±2.0 nm; SiO2​ shell: 7.0±1.5 nm; Total diameter: 26.0±2.9 nm,"In DMEM: 107±13 nm, or generally <100 nm",Core/shell structure,,"In water: Negative surface charge. In DMEM: −24±4 mV, or generally about −35 mV",,"Fe3​O4​ core, SiO2​ shell, functionalized with (trihydroxysilyl)-1-propanesulfonic acid (SIT)",,pH 7.4 (DMEM). Dissolution studies also conducted at pH 4.5,37∘C,"Range: 0.1,0.5,1,2.5,5 nM. Comet assay: 5 nM. DFX study: 5 nM.",,"A549 (5 nM, 96 h): ∼95−100% viability; HeLa (5 nM, 96 h): ∼80−90% viability.",Less prone than bare NPs. Released ∼65 μM Fe at pH 4.5 (96 h). No detectable ion release at pH 7.,,"Slight increase. A549 (5 nM, 96 h): ∼120−130% LDH leakage; HeLa (5 nM, 96 h): ∼150−160% LDH leakage.","Low levels of ROS. A549 (2.5 nM, 96 h): ∼120−130% generation; HeLa (2.5 nM, 96 h): ∼120−140% generation.",,,,48 h and 96 h,A549 (human lung carcinoma) and HeLa (human cervix carcinoma) cells,10.1371/journal.pone.0085835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,NA ( similar size based on synthesis goal),Different surface charge than high passivation NPs (Value NA),2.5 nM,Iron Oxide,"Fe3​O4​ core, SiO2​ shell, functionalized with a lower amount of amine silanization agent",Non-toxic,,,Classified Data,Iron Oxide,Non-toxic,"Silica Coated Iron Oxide Nanoparticles (Fe3​O4​/SiO2​ NPs), low surface passivation",inorganic,NA ( similar size based on synthesis goal),,Core/shell structure,,Different surface charge than high passivation NPs (Value NA),,"Fe3​O4​ core, SiO2​ shell, functionalized with a lower amount of amine silanization agent",,pH 7.4 (DMEM). Dissolution studies also conducted at pH 4.5,37∘C,2.5 nM,,"A549 (2.5 nM, 96 h): ∼58% viability; HeLa (2.5 nM, 96 h): ∼60% viability.",Intermediate degradation. Released ∼85 μM Fe at pH 4.5 (96 h).,,,,,,,96 h,A549 (human lung carcinoma) and HeLa (human cervix carcinoma) cells,10.1371/journal.pone.0085835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,26 nm,,"0.5, 1, 2.5, 5 nM",Iron Oxide,Silica-APTES ((3-aminopropyl)triethoxysilane),Toxic,26.0,,Classified Data,Iron Oxide,Toxic,Silica-APTES MNPs,inorganic,26 nm,,,,,,Silica-APTES ((3-aminopropyl)triethoxysilane),,,,"0.5, 1, 2.5, 5 nM",,Showed no sign of toxicity,,,,Induced low levels of ROS,,,,,HeLa and A549 cells,10.3390/ijms252212013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,~19 nm,,,Iron Oxide,"Silica, coated with oleic acid (protective)",Toxic,19.0,,Classified Data,Iron Oxide,Toxic,Silica-coated MNPs,inorganic,~19 nm,,,,,,"Silica, coated with oleic acid (protective)",,,,,,,,,,Oxidative stress mitigated,,,,,Endothelial cells,10.3390/ijms252212013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,50,,4 mg/mL (IC50),Iron Oxide,Silica,Toxic,50.0,,Classified Data,Iron Oxide,Toxic,Silica-coated SPIONs,inorganic,50,,,,,,Silica,,,,4 mg/mL (IC50),,,,,,,,4 mg/mL,,,A549 (human),10.1088/1674-1056/22/12/127503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,50,,4 mg/mL (IC50),Iron Oxide,Silica,Toxic,50.0,,Classified Data,Iron Oxide,Toxic,Silica-coated SPIONs,inorganic,50,,,,,,Silica,,,,4 mg/mL (IC50),,,,,,,,4 mg/mL,,,A549 (human),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,30–120,,10 µg/mL,Iron Oxide,Silica,Toxic,30.0,,Classified Data,Iron Oxide,Toxic,Silica-coated SPIONs,inorganic,30–120,,,,,,Silica,,,,10 µg/mL,,Dose- and size-dependent damage,,,,,,,,2 d,macrophages and dendritic cells (human),10.1088/1674-1056/22/12/127503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
